cuisine,f1_before,f1_after,f1_change,test_support,note
French,0.09,0.193,0.103,164,
Healthy food,0.0,0.102,0.102,92,
Seafood,0.2,0.274,0.074,210,
American,0.191,0.235,0.044,908,
Japanese,0.0,0.043,0.043,30,
Pizza,0.089,0.107,0.018,250,
International,0.0,0.0,0.0,90,
Chinese,0.0,0.0,0.0,1,
Mexican,0.0,0.0,0.0,0,no test examples
Levantine,0.573,0.571,-0.002,1525,
Jewish,0.562,0.558,-0.004,82,
Other,0.319,0.313,-0.006,406,
Dessert,0.624,0.616,-0.008,611,
Italian,0.314,0.294,-0.02,171,
Fast food,0.139,0.107,-0.032,118,
